query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
prolactin test,1600,0,dfs,3,6,pillar-C,commercial,gate,,,,,csv
abnormal liver function test,1600,19,dfs,3,5,pillar-H,commercial,medium,,,planned,,csv
liver function test interpretation,1600,24,dfs,3,4,pillar-H,commercial,medium,,,planned,,csv
boots cholesterol test,1600,0,dfs,3,6,I,commercial,,,,,,discovery
liver function test normal levels,1600,4,dfs,3,6,H,commercial,,,,,,discovery
liver function test normal values,1600,10,dfs,3,5,H,spoke,,,,,,discovery
liver function blood test normal range,1600,19,dfs,3,4,H,spoke,,,,,,discovery
liver function blood test normal values,1600,17,dfs,3,4,H,spoke,,,,,,discovery
boots pharmacy cholesterol test,1600,0,dfs,3,6,I,commercial,,,,,,discovery
cholesterol test boots chemist,1600,0,dfs,3,6,I,commercial,,,,,,discovery
private clinic london blood test,1600,3,dfs,3,6,,commercial,,,,,,discovery
home test thyroid,1600,0,dfs,3,6,J,commercial,,,,,,discovery
how.to get rid of brain fog,1600,18,dfs,3,4,,spoke,,,,,,discovery
eosinophils blood test,1300,0,dfs,3,6,,commercial,,,,,,backlog
emom meaning,1300,0,dfs,3,5,,spoke,,,,,,backlog
blood test for magnesium,1300,19,dfs,3,5,,commercial,,,,,,backlog
alt normal value,1300,1,dfs,3,5,H,spoke,,,,,,backlog
methylation testing,1300,0,dfs,3,5,,spoke,,,,,,backlog
serum total bilirubin,1300,13,dfs,3,4,H,spoke,,,,,,backlog
qfit,1300,0,dfs,3,5,,spoke,,,,,,backlog
hormonal imbalances test,1300,15,dfs,3,5,,commercial,,,,,,backlog
hormones checked for imbalances,1300,0,dfs,3,5,,spoke,,,,,,backlog
hormonal imbalance testing,1300,0,dfs,3,5,,spoke,,,,,,backlog
menstruation hormone chart,1300,15,dfs,3,4,,spoke,,,,,,backlog
normal value of urea,1300,8,dfs,3,5,,spoke,,,,,,backlog
blood test monocytes,1300,0,dfs,3,6,,commercial,,,,,,backlog
urea normal levels,1300,6,dfs,3,5,,spoke,,,,,,backlog
